id,count,latitude,longitude
170,1,30.0799,-95.4172
171,1,49.2333,-55.0667
172,2,39.0142,-76.6794
173,1,38,-97
174,1,44.7225,-73.2923
175,1,17.3753,78.4744
176,1,32.862,-96.5926
177,8,52.5,5.75
178,1,32.5129,-94.7954
179,1,37.4702,-79.0652
180,1,43.1098,-76.1995
181,1,42.9833,-81.25
182,1,30.4383,-84.2807
183,1,42.8336,-88.7323
184,1,42.1058,-87.8771
185,1,32.8523,-97.1342
186,1,32.7357,-97.1081
187,1,49,32
188,1,58.3661,26.7361
189,1,33.1769,-96.6985
190,1,23.1167,113.25
191,1,33.749,-84.388
192,1,36.332,-94.1185
193,1,40.7801,-74.0633
194,1,39.6182,-84.2488
195,1,44.8313,-93.2779
196,1,32.8592,-97.0819
197,1,-33.45,-70.6667
198,1,60,100
199,1,39.8566,-74.6704
200,1,38,-97
201,1,37.563,-122.3255
202,1,41.8734,-70.6394
203,1,32.9722,-96.7376
204,1,33.1212,-97.1834
205,1,32.814,-96.9489
206,1,49,32
207,1,41.85,-87.65
208,1,38,-97
209,1,59.8944,30.2642
210,1,42.9742,-85.9311
211,1,36.142,-95.9921
212,4,39.9911,-75.1014
213,2,33.0035,-96.9
214,1,51.5833,-2.9833
215,1,32.9516,-97.1515
216,1,32.9516,-97.1515
217,1,-34.5875,-58.6725
218,1,38,-97
219,1,43.9,-78.8667
220,1,43.9292,-123.0867
221,1,36.2191,-81.6563
222,1,32.2847,-97.5392
223,1,38,-97
224,3,13.754,100.5014
225,2,13.754,100.5014
226,1,54,-2
227,5,13.754,100.5014
228,1,28.6667,77.2167
229,1,31.1823,-81.4926
230,1,49,32
231,3,32.7831,-96.8067
232,1,49,32
233,1,55.7522,37.6156
234,1,45.3181,18.7292
235,1,34.8315,-87.6664
236,1,39.3433,-77.5739
237,1,41.5737,-84.0052
238,1,55.4242,37.5547
239,1,50.8333,4
240,1,27.9475,-82.4584
241,1,51,9
242,1,30.2058,-97.8002
243,1,37.6422,-93.3996
244,1,60,100
245,2,31.8974,-98.6037
246,1,37.3506,-94.6819
247,1,33.767,-118.1892
248,2,35.8456,-86.3903
249,1,50.0833,14.4667
250,1,60,-95
251,1,44.5342,19.2242
252,1,31.6995,-94.6074
253,1,30.628,-96.3344
254,1,41.5497,-72.6531
255,1,53.55,10
256,1,31.1171,-97.7278
257,2,30.8485,-83.2878
258,1,36.8788,-93.7206
259,1,56.1833,15.8167
260,1,39.0911,-94.4155
261,1,45.1578,-93.3204
262,1,51.1,4.0833
263,1,38,-97
264,1,51,9
265,1,36.0986,-95.9288
266,1,42.2125,-76.7868
267,1,-33.45,-70.6667
268,1,43.6667,-79.4167
269,1,52.5931,19.0894
270,1,24.9878,118.4983
271,1,43.0491,-88.0026
272,1,30.2936,120.1614
273,1,35.7895,-78.8743
274,1,53.8647,20.9569
275,2,29.9156,-95.6491
276,1,38,-97
277,1,38,-97
278,1,50.8333,4.3667
279,1,30.3703,-97.8454
280,1,32.7593,-97.7973
281,1,31.0536,-97.6421
282,1,38,-97
