latitude,longitude,count
34.2846,-118.4399,1
34.282,-118.439,1
34.0039,-118.4338,2
34.1793,-118.432,1
33.9571,-118.4041,3
34.0607,-118.4032,2
34.4065,-118.4015,1
34.1649,-118.3965,2
34.0202,-118.3928,1
34.1379,-118.3919,1
33.831,-118.3875,1
33.7445,-118.387,3
34.0523,-118.3852,1
34.321,-118.383,4
34.0943,-118.3811,3
34.1722,-118.379,2
33.8743,-118.3721,3
34.1511,-118.3666,1
33.8403,-118.3539,1
33.8047,-118.3523,2
34.069,-118.3502,1
34.1753,-118.3472,2
33.9129,-118.3439,4
33.7732,-118.3398,1
34.13,-118.3386,1
33.9853,-118.3379,1
33.9598,-118.3307,1
34.0887,-118.3278,1
33.7584,-118.3163,1
33.7922,-118.3151,1
34.0036,-118.3091,2
34.1808,-118.309,4
33.7866,-118.2987,6
34.091,-118.2943,5
33.8338,-118.2924,1
34.1994,-118.2914,1
34.1281,-118.2893,1
34.2522,-118.2884,1
34.0396,-118.2661,17
34.053,-118.2642,21
34.1359,-118.2632,1
33.78,-118.2626,1
34.1173,-118.26,2
34.1425,-118.2551,2
34.0533,-118.2549,1
34.0438,-118.2512,2
34.5873,-118.2454,1
34.0522,-118.2437,24
34.0674,-118.2423,1
34.2242,-118.2401,1
33.8175,-118.2233,1
33.9303,-118.2115,1
34.1339,-118.2052,1
34.1666,-118.2026,2
33.7542,-118.2019,4
33.767,-118.1892,5
33.9775,-118.187,1
33.9883,-118.1869,1
33.8115,-118.1868,1
34.1478,-118.1445,1
33.7824,-118.1444,1
33.9231,-118.1396,1
34.698,-118.1367,1
34.0905,-118.1344,1
33.7589,-118.133,1
33.9415,-118.1307,2
34.0953,-118.127,2
34.0625,-118.1228,1
33.8817,-118.117,1
33.7843,-118.1157,1
34.0526,-118.1133,1
33.8505,-118.1099,1
38.3905,-118.1087,1
34.0961,-118.1058,1
34.0095,-118.1054,1
33.9864,-118.0884,3
34.0616,-118.0818,2
33.7576,-118.0777,1
33.9071,-118.0767,4
33.9275,-118.0657,1
33.8661,-118.0528,3
34.1031,-118.051,1
34.125,-118.0496,3
34.0519,-118.0467,2
33.9457,-118.0388,1
33.8188,-118.0377,1
34.1397,-118.0353,1
34.0069,-118.0315,1
34.0686,-118.0276,1
34.1379,-118.0259,1
33.6746,-118.0086,1
33.8417,-118.0076,2
33.9009,-118.0073,1
33.7265,-118.0069,1
33.7988,-117.9993,1
34.1481,-117.9989,2
33.8675,-117.9981,1
34.1394,-117.9773,1
34.0024,-117.9757,1
33.6653,-117.9718,2
34.0964,-117.9668,5
34.0853,-117.9609,1
33.9414,-117.9555,2
33.71,-117.9478,4
34.1378,-117.9474,1
33.7739,-117.9415,1
34.0686,-117.939,1
33.8703,-117.9253,1
33.8353,-117.9145,6
33.8263,-117.9106,1
34.0974,-117.9073,1
34.6976,-117.9068,1
33.6793,-117.9055,12
33.9782,-117.904,1
33.8722,-117.8703,2
33.7456,-117.8678,4
33.8312,-117.8673,1
33.9269,-117.8612,4
33.7878,-117.8531,2
34.1189,-117.8507,1
33.8818,-117.8503,2
33.6897,-117.8502,4
33.7846,-117.8433,1
33.6001,-117.8287,1
33.6695,-117.8231,5
34.0286,-117.8103,1
33.6378,-117.8095,1
33.8138,-117.7986,5
33.7011,-117.797,3
33.7633,-117.7942,6
33.8502,-117.7912,1
33.8924,-117.7879,1
33.5558,-117.7858,1
33.5423,-117.7831,1
33.7983,-117.7824,1
33.7516,-117.7716,1
33.6403,-117.7694,3
33.7081,-117.7596,1
34.039,-117.7548,2
33.8449,-117.7391,1
33.6751,-117.7339,2
33.5717,-117.7289,6
33.6053,-117.7173,1
33.5225,-117.7075,3
33.4782,-117.7064,2
33.5351,-117.7052,1
34.071,-117.701,1
33.6451,-117.6786,3
34.0462,-117.6742,1
33.6,-117.672,1
33.6054,-117.6675,1
34.104,-117.6642,1
34.0633,-117.6509,1
34.0975,-117.6484,1
46.8387,-117.6443,1
33.6051,-117.644,2
33.568,-117.6328,2
34.0778,-117.6261,1
33.5256,-117.6191,1
34.1431,-117.616,1
33.9096,-117.6123,5
