latitude,longitude,count,city,state,zip,country
26.2792,-98.1832,2,Edinburg,TX,78539,US
29.7229,-98.0742,5,New Braunfels,TX,78130,US
31.0887,-98.0099,1,Kempner,TX,76539,US
29.5613,-97.9628,1,Seguin,TX,78155,US
30.3705,-97.9427,2,Austin,TX,78734,US
30.2107,-97.9427,2,Austin,TX,78737,US
29.8754,-97.9404,12,San Marcos,TX,78666,US
34.5073,-97.9403,3,Duncan,OK,73533,US
38.055,-97.9311,1,Hutchinson,KS,67501,US
30.2444,-97.916,1,Austin,TX,78736,US
30.172,-97.8784,3,Austin,TX,78739,US
30.5835,-97.8575,5,Leander,TX,78641,US
30.2166,-97.8508,1,Austin,TX,78749,US
30.249,-97.8414,1,Austin,TX,78735,US
29.9966,-97.8335,4,Kyle,TX,78640,US
30.1743,-97.8225,3,Austin,TX,78748,US
30.2971,-97.8181,1,Austin,TX,78746,US
30.4772,-97.8176,4,Cedar Park,TX,78613,US
30.4224,-97.7967,3,Austin,TX,78750,US
30.2063,-97.7956,7,Austin,TX,78745,US
32.425,-97.7742,5,Granbury,TX,76048,US
30.3264,-97.7713,1,Austin,TX,78709,US
30.4521,-97.7688,3,Austin,TX,78729,US
30.2428,-97.7658,3,Austin,TX,78704,US
30.2907,-97.7648,1,Austin,TX,78703,US
30.3471,-97.7609,2,Austin,TX,78731,US
30.7177,-97.7543,1,Georgetown,TX,78633,US
30.4036,-97.7526,5,Austin,TX,78759,US
30.506,-97.7472,1,Austin,TX,78717,US
30.2713,-97.7426,3,Austin,TX,78701,US
30.2896,-97.7396,6,Austin,TX,78705,US
30.3223,-97.739,1,Austin,TX,78756,US
35.4977,-97.7323,1,Yukon,OK,73099,US
30.3437,-97.7316,2,Austin,TX,78757,US
32.4488,-97.7285,2,Granbury,TX,76049,US
30.3093,-97.7242,4,Austin,TX,78751,US
30.2315,-97.7223,8,Austin,TX,78741,US
30.4254,-97.7195,1,Austin,TX,78727,US
30.2893,-97.715,1,Austin,TX,78722,US
30.3764,-97.7078,3,Austin,TX,78758,US
30.5084,-97.7062,5,Round Rock,TX,78681,US
32.7495,-97.6894,3,Weatherford,TX,76087,US
30.3649,-97.6827,3,Austin,TX,78753,US
30.4417,-97.6811,2,Austin,TX,78728,US
29.8868,-97.6769,1,Lockhart,TX,78644,US
30.5145,-97.668,1,Round Rock,TX,78664,US
30.5145,-97.668,4,Round Rock,TX,78665,US
30.3423,-97.6673,5,Austin,TX,78754,US
37.6767,-97.66,1,Garden Plain,KS,67050,US
35.5043,-97.6399,8,Bethany,OK,73008,US
30.296,-97.6396,1,Austin,TX,78724,US
32.966,-97.635,2,Springtown,TX,76082,US
30.4421,-97.6299,5,Pflugerville,TX,78660,US
35.2453,-97.6216,1,Newcastle,OK,73065,US
27.8458,-97.596,2,Corpus Christi,TX,78410,US
35.5184,-97.5746,3,Oklahoma City,OK,73112,US
33.2351,-97.574,2,Decatur,TX,76234,US
30.5257,-97.5672,2,Hutto,TX,78634,US
35.5835,-97.5638,1,Oklahoma City,OK,73120,US
35.6174,-97.5583,5,Oklahoma City,OK,73134,US
35.327,-97.5556,2,Oklahoma City,OK,73170,US
32.9035,-97.5412,6,Azle,TX,76020,US
37.6575,-97.5364,1,Goddard,KS,67052,US
35.3792,-97.5362,1,Oklahoma City,OK,73139,US
35.491,-97.5196,3,Oklahoma City,OK,73103,US
35.722,-97.5133,4,Edmond,OK,73025,US
35.4794,-97.5017,1,Oklahoma City,OK,73104,US
35.6748,-97.4997,2,Edmond,OK,73003,US
32.7822,-97.4969,3,Fort Worth,TX,76108,US
35.199,-97.4841,1,Norman,OK,73072,US
33.054,-97.4817,2,Rhome,TX,76078,US
35.6665,-97.4798,1,Edmond,OK,73034,US
35.334,-97.4768,2,Oklahoma City,OK,73160,US
35.6215,-97.4733,4,Edmond,OK,73012,US
35.6215,-97.4733,7,Edmond,OK,73013,US
35.5797,-97.4691,3,Oklahoma City,OK,73131,US
35.2204,-97.4577,2,Norman,OK,73069,US
32.8248,-97.4519,6,Fort Worth,TX,76135,US
32.723,-97.4483,8,Fort Worth,TX,76116,US
37.7007,-97.4383,1,Wichita,KS,67212,US
32.9074,-97.4257,7,Fort Worth,TX,76179,US
32.3509,-97.4103,1,Cleburne,TX,76033,US
35.233,-97.4067,8,Norman,OK,73071,US
32.6711,-97.4056,4,Fort Worth,TX,76132,US
35.4605,-97.3974,1,Oklahoma City,OK,73110,US
31.4431,-97.3943,1,Mc Gregor,TX,76657,US
31.071,-97.3898,6,Temple,TX,76502,US
32.7392,-97.3852,8,Fort Worth,TX,76107,US
