latitude,longitude,count,zip
33.603311,-112.369625,1,85379
33.531789,-112.2562,3,85305
33.654291,-112.249474,1,85382
33.609311,-112.231694,1,85381
33.531968,-112.22343,1,85303
33.599739,-112.178276,2,85304
33.629939,-112.131344,2,85053
33.635109,-112.093768,3,85023
33.559421,-112.092875,1,85021
33.679761,-112.092529,1,85027
33.312552,-112.057185,4,85048
33.465234,-112.048771,1,85006
40.70045,-112.046771,3,84128
33.369197,-112.04351,2,85042
33.406479,-112.025469,1,85040
33.352957,-112.019082,3,85044
40.697474,-112.001241,1,84120
40.622887,-111.964564,1,84084
33.427413,-111.933836,1,85281
33.493513,-111.919239,1,85251
40.617184,-111.895066,1,84047
33.324113,-111.878217,1,85224
33.381349,-111.874001,3,85202
40.661033,-111.8347,1,84117
33.317448,-111.830487,2,85225
33.601112,-111.809488,1,85259
33.277771,-111.731454,2,85297
40.808532,-111.729104,1,84108
33.43242,-111.718512,1,85205
33.396337,-111.717093,1,85206
40.611653,-111.714916,4,84121
40.441154,-111.67045,1,84062
33.511896,-111.579396,2,85215
47.319261,-111.298533,2,59405
32.621072,-110.989667,1,85739
32.33942,-110.984997,2,85704
32.246721,-110.948654,1,85719
32.241537,-110.923197,1,85716
32.214133,-110.823718,1,85710
32.289584,-110.733528,1,85749
37.120416,-110.349581,2,84536
32.813765,-109.355257,1,85546
45.613054,-108.390305,1,59101
39.601448,-107.304314,8,81601
39.236653,-107.161909,1,81623
34.705471,-107.020536,3,87031
38.395065,-106.953683,1,81230
35.268498,-106.783682,1,87124
42.857603,-106.770764,1,82604
35.134802,-106.75494,2,87120
35.19364,-106.685666,1,87114
34.606524,-106.659036,2,87002
35.1378,-106.642543,2,87107
35.05792,-106.621262,2,87106
35.072478,-106.578362,1,87108
35.152882,-106.575536,1,87109
31.814872,-106.561208,1,79922
31.848583,-106.534316,2,79912
35.100609,-106.516275,2,87112
35.191009,-106.501625,2,87122
31.783715,-106.498544,1,79902
35.143913,-106.48746,5,87111
31.852764,-106.447636,2,79904
43.088983,-106.381848,1,82601
35.840721,-106.288109,9,87544
32.231243,-106.230566,1,88081
35.076686,-106.182589,1,87015
35.616815,-105.874874,1,87505
36.39145,-105.467624,1,87571
40.039191,-105.372017,2,80302
39.379452,-105.324766,1,80470
39.975334,-105.248158,5,80305
39.718726,-105.236031,1,80401
40.169014,-105.210376,1,80503
39.694967,-105.173161,1,80228
40.518836,-105.143224,1,80526
40.594597,-105.127416,3,80521
39.816686,-105.122787,2,80004
39.744773,-105.115977,1,80215
40.164837,-105.103179,2,80501
39.772326,-105.103009,1,80033
40.01225,-105.099734,1,80026
39.712845,-105.091519,1,80226
39.563846,-105.078981,1,80128
39.930782,-105.074287,3,80020
39.61601,-105.069449,2,80123
39.695293,-105.035601,1,80219
40.163388,-105.030087,1,80504
40.647612,-105.029257,1,80524
39.593836,-105.01146,1,80120
40.494596,-105.004639,1,80528
39.909994,-105.002506,1,80234
39.676626,-104.962315,1,80210
39.899671,-104.946561,1,80233
41.092356,-104.936269,1,82001
39.530958,-104.923416,1,80130
39.687765,-104.911337,1,80224
39.698327,-104.878815,1,80247
39.739249,-104.862881,1,80010
38.928208,-104.852626,1,80919
39.09941,-104.84653,1,80132
39.663558,-104.838067,2,80014
38.83149,-104.814501,4,80903
38.197683,-104.810446,1,81005
40.107238,-104.801093,1,80621
40.403315,-104.792917,1,80634
38.910393,-104.780362,3,80918
39.62732,-104.779035,1,80015
39.4855,-104.778638,2,80134
38.853475,-104.775218,2,80909
39.661408,-104.765655,1,80013
38.886168,-104.745264,2,80917
38.849797,-104.717043,1,80915
41.08307,-104.707126,1,82007
39.602253,-104.705114,1,80016
39.409358,-104.572571,5,80107
29.39623,-103.617232,1,79852
34.499384,-103.275272,3,88101
34.582808,-103.099614,1,88135
36.098587,-102.603518,2,79022
31.866262,-102.537544,1,79764
